signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled
20260116,EXECUTED,E,301235.SZ,华康洁净,20260119,20260120,-0.015291792076344629,412499912.8474144,406192049.9486414,,,,E_R1:25;first_time=1100_1330,415346257.55854005,-0.022039942441538396,True
20260121,EXECUTED,E,300837.SZ,浙矿股份,20260122,20260123,0.07898634839895838,406192049.9486414,438275676.7227719,,,,E_R1:25;first_time=1100_1330,438275676.7227719,0.0,True
20260123,EXECUTED,A,920368.BJ,连城数控,20260126,20260127,0.10817500533601024,438275676.7227719,485686150.3909012,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),485686150.3909012,0.0,True
20260128,EXECUTED,A,300164.SZ,通源石油,20260129,20260130,0.04757615837663165,485686150.3909012,508793231.60323524,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),508793231.60323524,0.0,True
20260202,EXECUTED,E,002471.SZ,中超控股,20260203,20260204,0.03195094077023888,508793231.60323524,525049654.0104887,,,,E_R1:25;first_time=1000_1100,525049654.0104887,0.0,True
20260209,EXECUTED,E,300182.SZ,捷成股份,20260210,20260211,0.08449626098901099,525049654.0104887,569414386.6079489,,,,E_R1:36;first_time=before_1000,569414386.6079489,0.0,True
20260224,EXECUTED,E,300157.SZ,新锦动力,20260225,20260226,0.0054166957838079075,569414386.6079489,572498731.1151278,,,,E_R1:25;first_time=before_1000,572498731.1151278,0.0,True
20260226,EXECUTED,A,300499.SZ,高澜股份,20260227,20260302,0.021243541591960777,572498731.1151278,584660631.7209167,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),584660631.7209167,0.0,True
20260302,EXECUTED,C,603083.SH,剑桥科技,20260303,20260305,-0.015590896613950973,584660631.7209167,575545248.2575086,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),584660631.7209167,-0.015590896613951077,True
20260309,EXECUTED,A,301606.SZ,绿联科技,20260310,20260311,-0.05027612989115961,575545248.2575086,546609060.5978744,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),584660631.7209167,-0.06508317656182805,True
20260312,EXECUTED,E,301396.SZ,宏景科技,20260313,20260316,0.08855584203296704,546609060.5978744,595014486.2219683,,,,E_R1:25;first_time=after_1430,595014486.2219683,0.0,True
20260325,EXECUTED,C,603829.SH,洛凯股份,20260326,20260330,0.0025300256120043413,595014486.2219683,596519888.1116235,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),596519888.1116235,0.0,True
20260401,EXECUTED,E,301312.SZ,智立方,20260402,20260403,0.0979785434286577,596519888.1116235,654966037.8750263,,,,E_R1:25;first_time=1100_1330,654966037.8750263,0.0,True
20260403,EXECUTED,E,688205.SH,德科立,20260407,20260409,-0.009839395243835272,654966037.8750263,648521568.1570852,,,,E_R1:33;first_time=1000_1100,654966037.8750263,-0.009839395243835258,True
20260409,EXECUTED,A,300489.SZ,光智科技,20260410,20260413,0.09016360407250365,648521568.1570852,706994610.0608797,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),706994610.0608797,0.0,True
20260414,EXECUTED,A,301189.SZ,奥尼电子,20260415,20260416,-0.02931629390602878,706994610.0608797,686268148.2823567,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),706994610.0608797,-0.029316293906028745,True
20260417,EXECUTED,A,301319.SZ,唯特偶,20260420,20260421,0.04807778952940489,686268148.2823567,719262403.8762103,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),719262403.8762103,0.0,True
20260429,EXECUTED,D,002378.SZ,章源钨业,20260429,20260506,0.03289213851761836,719262403.8762103,742920482.4950218,,,,D_T2_CLOSE;净收益×80%成交压力,742920482.4950218,0.0,True
20260506,EXECUTED,C,600589.SH,大位科技,20260507,20260511,0.14147306140655388,742920482.4950218,848023717.5352266,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),848023717.5352266,0.0,True
20260511,EXECUTED,E,301188.SZ,力诺药包,20260512,20260513,0.018784140229335937,848023717.5352266,863953113.9632109,,,,E_R1:25;first_time=1100_1330,863953113.9632109,0.0,True
